http://greek-lod.math.auth.gr/kalikratis/resource/regions/8;Περιφέρεια Στερεάς Ελλάδας;http://el.dbpedia.org/resource/Περιφέρεια_Στερεάς_Ελλάδας
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/capital;1;0
http://dbpedia.org/ontology/censusYear;1;0
http://dbpedia.org/ontology/nutsCode;1;0
http://dbpedia.org/ontology/populationMetro;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/2000πληθ;1;0
http://el.dbpedia.org/property/2000πυκνότητα;1;0
http://el.dbpedia.org/property/isocode;1;0
http://el.dbpedia.org/property/nuts;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/έκταση;1;0
http://el.dbpedia.org/property/έμβλημα;1;0
http://el.dbpedia.org/property/έμβλημαalt;1;0
http://el.dbpedia.org/property/αντιπεριφερειάρχες;1;0
http://el.dbpedia.org/property/απογραφή;1;0
http://el.dbpedia.org/property/αποκεντρωμένηΔιοίκηση;1;0
http://el.dbpedia.org/property/γεωγραφικόΔιαμέρισμα;1;0
http://el.dbpedia.org/property/γεωγραφικόΜήκος;1;0
http://el.dbpedia.org/property/γεωγραφικόΠλάτος;1;0
http://el.dbpedia.org/property/δήμοι;1;0
http://el.dbpedia.org/property/εικόναΣημαία;1;0
http://el.dbpedia.org/property/εικόναΧάρτη;1;0
http://el.dbpedia.org/property/επίσημηγλώσ;1;0
http://el.dbpedia.org/property/ιστοσελίδα;1;0
http://el.dbpedia.org/property/κατάταξηέκτασης;1;0
http://el.dbpedia.org/property/κατάταξηπληθυσμού;1;0
http://el.dbpedia.org/property/κατάταξηπυκνότητας;1;0
http://el.dbpedia.org/property/κωδ.Nuts;1;0
http://el.dbpedia.org/property/μέσουψ;1;0
http://el.dbpedia.org/property/μήκος;1;0
http://el.dbpedia.org/property/μεγαλύτερηπόλη;1;0
http://el.dbpedia.org/property/μεγαλύτεροςδήμος;1;0
http://el.dbpedia.org/property/παρατσούκλι;1;0
http://el.dbpedia.org/property/περιφέρειαΣτηΓενική;1;0
http://el.dbpedia.org/property/περιφέρειαΣτηνΟνομαστική;1;0
http://el.dbpedia.org/property/περιφερειάρχης;1;0
http://el.dbpedia.org/property/περιφερειακέςΕνότητες;1;0
http://el.dbpedia.org/property/πλάτος;1;0
http://el.dbpedia.org/property/πλήρεςόνομα;1;0
http://el.dbpedia.org/property/πληθυσμός;1;0
http://el.dbpedia.org/property/ποσνερού;1;0
http://el.dbpedia.org/property/πρωτεύουσα;1;0
http://el.dbpedia.org/property/πυκνότηταΠληθυσμού;1;0
http://el.dbpedia.org/property/σελίδαΒικιπαίδειας;1;0
http://el.dbpedia.org/property/σημαία;1;0
http://el.dbpedia.org/property/σημαίαalt;1;0
http://el.dbpedia.org/property/συνολικήέκταση;1;0
http://el.dbpedia.org/property/τοπωνύμιο;1;0
http://el.dbpedia.org/property/χαμηλότερουψ;1;0
http://el.dbpedia.org/property/ψηλότεροσημείο;1;0
http://el.dbpedia.org/property/ψηλότερουψ;1;0
http://el.dbpedia.org/property/όνομα;1;0
http://el.dbpedia.org/property/όνομαΠεριφερειάρχη;1;0
http://el.dbpedia.org/resource/Πρότυπο:Πληροφορίες_περιφέρειας_της_Ελλάδας;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/name;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/region;0;1
http://el.dbpedia.org/property/διαίρεση;0;1
http://el.dbpedia.org/property/περιοχή;0;1
http://el.dbpedia.org/property/περιφέρεια;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
